Fakultät,Code,Id,Kanton,Einwohner,Jahr,Semester,Immatrikulationen
Theologie,BS,12,Basel-Stadt,194766,2006,FS,0
Theologie,ZH,1,Zürich,1520968,2006,FS,0
Theologie,BE,2,Bern,1034977,2006,FS,0
Theologie,LU,3,Luzern,409557,2006,FS,0
Theologie,UR,4,Uri,36433,2006,FS,0
Theologie,SZ,5,Schwyz,159165,2006,FS,0
Theologie,OW,6,Obwalden,37841,2006,FS,0
Theologie,GL,8,Glarus,40403,2006,FS,0
Theologie,ZG,9,Zug,126837,2006,FS,0
Theologie,FR,10,Freiburg,318714,2006,FS,0
Theologie,SO,11,Solothurn,273194,2006,FS,0
Theologie,BL,13,Basel-Landschaft,288132,2006,FS,0
Theologie,SH,14,Schaffhausen,81991,2006,FS,0
Theologie,AI,16,Appenzell Innerrhoden,16145,2006,FS,0
Theologie,SG,17,St. Gallen,507697,2006,FS,0
Theologie,GR,18,Graubünden,198379,2006,FS,0
Theologie,AG,19,Aargau,677387,2006,FS,0
Theologie,TG,20,Thurgau,276472,2006,FS,1
Theologie,TI,21,Tessin,353343,2006,FS,0
Theologie,VD,22,Waadt,799145,2006,FS,0
Theologie,VS,23,Wallis,343955,2006,FS,0
Theologie,NE,24,Neuenburg,176850,2006,FS,0
Theologie,GE,25,Genf,499480,2006,FS,0
Theologie,JU,26,Jura,73419,2006,FS,0
Jurisprudenz,BS,12,Basel-Stadt,194766,2006,FS,6
Jurisprudenz,ZH,1,Zürich,1520968,2006,FS,1
Jurisprudenz,BE,2,Bern,1034977,2006,FS,3
Jurisprudenz,LU,3,Luzern,409557,2006,FS,0
Jurisprudenz,UR,4,Uri,36433,2006,FS,0
Jurisprudenz,SZ,5,Schwyz,159165,2006,FS,0
Jurisprudenz,OW,6,Obwalden,37841,2006,FS,0
Jurisprudenz,GL,8,Glarus,40403,2006,FS,0
Jurisprudenz,ZG,9,Zug,126837,2006,FS,0
Jurisprudenz,FR,10,Freiburg,318714,2006,FS,0
Jurisprudenz,SO,11,Solothurn,273194,2006,FS,1
Jurisprudenz,BL,13,Basel-Landschaft,288132,2006,FS,4
Jurisprudenz,SH,14,Schaffhausen,81991,2006,FS,0
Jurisprudenz,AI,16,Appenzell Innerrhoden,16145,2006,FS,0
Jurisprudenz,SG,17,St. Gallen,507697,2006,FS,0
Jurisprudenz,GR,18,Graubünden,198379,2006,FS,0
Jurisprudenz,AG,19,Aargau,677387,2006,FS,1
Jurisprudenz,TG,20,Thurgau,276472,2006,FS,0
Jurisprudenz,TI,21,Tessin,353343,2006,FS,0
Jurisprudenz,VD,22,Waadt,799145,2006,FS,0
Jurisprudenz,VS,23,Wallis,343955,2006,FS,0
Jurisprudenz,NE,24,Neuenburg,176850,2006,FS,0
Jurisprudenz,GE,25,Genf,499480,2006,FS,0
