volume,volume_index,price_per_avocado,type,temperature,temperature_usa,humidity,humidity_usa,precipitation,precipitation_usa,year,season,date,region,longitude,latitude
5040365.47,8.58601017452631,0.9,conventional,15.51,9.29188679245283,94.72,84.6037735849057,0.66,8.09849056603774,2015,winter,2015-12-27,California,-76.50745,38.3004
4695737.21,8.49683372431753,0.94,conventional,2.61,4.48358490566038,67.75,77.0588679245283,0,1.32169811320755,2015,winter,2015-12-20,California,-76.50745,38.3004
5259354.3,8.63986514835614,0.87,conventional,14.38,12.1984905660377,96.68,88.6645283018868,0,6.2877358490566,2015,winter,2015-12-13,California,-76.50745,38.3004
5775536.27,8.75922917078921,0.78,conventional,5.93,7.31943396226415,79.67,79.5622641509434,0,1.45207547169811,2015,winter,2015-12-06,California,-76.50745,38.3004
4575710.62,8.46438809737756,0.91,conventional,9.76,6.23283018867925,91.64,76.5254716981132,2.83,2.93981132075472,2015,autumn,2015-11-29,California,-76.50745,38.3004
4804278.16,8.52553813663187,0.92,conventional,6.23,5.63339622641509,72.82,66.8588679245283,0.62,1.02584905660377,2015,autumn,2015-11-22,California,-76.50745,38.3004
5755190.69,8.75470967276384,0.83,conventional,8.33,9.5577358490566,70.73,72.8239622641509,0,1.53603773584906,2015,autumn,2015-11-15,California,-76.50745,38.3004
5148983.51,8.61297980490879,0.98,conventional,10.51,10.1505660377358,62.3,69.3630188679245,0,1.95867924528302,2015,autumn,2015-11-08,California,-76.50745,38.3004
5830427.96,8.77135152657088,0.95,conventional,14.7,14.5784905660377,89.84,80.2118867924528,1.54,4.41132075471698,2015,autumn,2015-11-01,California,-76.50745,38.3004
4592461.81,8.46896195185264,1.12,conventional,14.9,14.5824528301887,82.36,73.6516981132075,0.47,6.35754716981132,2015,autumn,2015-10-25,California,-76.50745,38.3004
4999031.79,8.57560953473532,1.07,conventional,7.06,10.9739622641509,66.55,64.1824528301887,0,0.761320754716981,2015,autumn,2015-10-18,California,-76.50745,38.3004
5063309.38,8.59175037953805,1.08,conventional,14.69,17.1081132075472,66,63.4118867924528,0,0.245849056603774,2015,autumn,2015-10-11,California,-76.50745,38.3004
4943781.29,8.56158551715945,1.02,conventional,15.78,15.6477358490566,84.4,72.9977358490566,2.35,1.30320754716981,2015,autumn,2015-10-04,California,-76.50745,38.3004
5216784.63,8.62955625698623,1.04,conventional,21.09,20.0837735849057,75.18,68.3192452830189,0.61,1.64792452830189,2015,autumn,2015-09-27,California,-76.50745,38.3004
4759791.13,8.51384453192968,1.14,conventional,22.54,21.2315094339623,68.68,58.8079245283019,0.08,0.515471698113208,2015,autumn,2015-09-20,California,-76.50745,38.3004
5106508.12,8.60249478106135,1.13,conventional,19.3,19.3033962264151,66.61,63.0683018867925,0.74,1.98,2015,autumn,2015-09-13,California,-76.50745,38.3004
5806392.78,8.76605626086078,1.09,conventional,24.61,23.8267924528302,65.6,60.5562264150943,0.01,1.25433962264151,2015,autumn,2015-09-06,California,-76.50745,38.3004
5647385.15,8.7305194297498,1.08,conventional,25.33,23.6130188679245,60.37,66.3739622641509,0,2.73641509433962,2015,summer,2015-08-30,California,-76.50745,38.3004
5193221,8.62381736935501,1.18,conventional,23.55,23.3154716981132,56.27,62.3979245283019,0.43,1.89339622641509,2015,summer,2015-08-23,California,-76.50745,38.3004
5616434.08,8.72349760061278,1.11,conventional,24.73,25.4656603773585,60.05,59.3781132075472,0,1.75924528301887,2015,summer,2015-08-16,California,-76.50745,38.3004
6232081.27,8.85705245257657,1.1,conventional,24.9,24.5149056603774,61.99,63.2249056603774,0.01,1.05547169811321,2015,summer,2015-08-09,California,-76.50745,38.3004
5428238.87,8.68003680296571,1.16,conventional,25.97,25.0150943396226,55.66,58.2430188679245,0.05,1.91358490566038,2015,summer,2015-08-02,California,-76.50745,38.3004
5557616.27,8.71005716086473,1.13,conventional,26.16,24.6564150943396,62.88,66.8211320754717,1.76,3.02207547169811,2015,summer,2015-07-26,California,-76.50745,38.3004
5225200.52,8.63160028162703,1.18,conventional,28.04,26.3175471698113,73.42,70.3109433962264,0.15,2.25245283018868,2015,summer,2015-07-19,California,-76.50745,38.3004
5451636.92,8.68551338319,1.13,conventional,24.62,24.3960377358491,66.35,67.0190566037736,0.02,2.0777358490566,2015,summer,2015-07-12,California,-76.50745,38.3004
