id,film,zustand,tomatometer
1,F1,nuechtern,28
1,F2,nuechtern,28
1,F3,nuechtern,12
1,F4,nuechtern,17
1,F5,nuechtern,31
1,F6,nuechtern,36
1,F7,nuechtern,31
1,F8,nuechtern,33
1,F9,nuechtern,44
1,F10,nuechtern,23
1,F11,nuechtern,24
1,F12,nuechtern,20
1,F13,nuechtern,29
1,F14,nuechtern,26
1,F15,nuechtern,23
1,F1,betrunken,61
1,F2,betrunken,43
1,F3,betrunken,21
1,F4,betrunken,37
1,F5,betrunken,65
1,F6,betrunken,61
1,F7,betrunken,42
1,F8,betrunken,59
1,F9,betrunken,42
1,F10,betrunken,45
1,F11,betrunken,56
1,F12,betrunken,57
1,F13,betrunken,65
1,F14,betrunken,51
1,F15,betrunken,43
2,F1,nuechtern,30
2,F2,nuechtern,10
2,F3,nuechtern,27
2,F4,nuechtern,32
2,F5,nuechtern,26
2,F6,nuechtern,24
2,F7,nuechtern,30
2,F8,nuechtern,17
2,F9,nuechtern,25
2,F10,nuechtern,29
2,F11,nuechtern,1
2,F12,nuechtern,27
2,F13,nuechtern,19
2,F14,nuechtern,37
2,F15,nuechtern,31
2,F1,betrunken,50
2,F2,betrunken,44
2,F3,betrunken,47
2,F4,betrunken,34
2,F5,betrunken,66
2,F6,betrunken,50
2,F7,betrunken,49
2,F8,betrunken,59
2,F9,betrunken,62
2,F10,betrunken,57
2,F11,betrunken,55
2,F12,betrunken,53
2,F13,betrunken,71
2,F14,betrunken,68
2,F15,betrunken,55
3,F1,nuechtern,20
3,F2,nuechtern,4
3,F3,nuechtern,9
3,F4,nuechtern,17
3,F5,nuechtern,22
3,F6,nuechtern,35
3,F7,nuechtern,22
3,F8,nuechtern,39
3,F9,nuechtern,27
3,F10,nuechtern,28
3,F11,nuechtern,28
3,F12,nuechtern,30
3,F13,nuechtern,12
3,F14,nuechtern,26
3,F15,nuechtern,15
3,F1,betrunken,34
3,F2,betrunken,43
3,F3,betrunken,20
3,F4,betrunken,26
3,F5,betrunken,64
3,F6,betrunken,51
3,F7,betrunken,41
3,F8,betrunken,49
3,F9,betrunken,43
3,F10,betrunken,40
3,F11,betrunken,38
3,F12,betrunken,41
3,F13,betrunken,45
3,F14,betrunken,58
3,F15,betrunken,38
4,F1,nuechtern,41
4,F2,nuechtern,31
4,F3,nuechtern,32
4,F4,nuechtern,25
4,F5,nuechtern,47
4,F6,nuechtern,41
4,F7,nuechtern,34
4,F8,nuechtern,47
4,F9,nuechtern,37
4,F10,nuechtern,53
4,F11,nuechtern,40
4,F12,nuechtern,14
4,F13,nuechtern,36
4,F14,nuechtern,28
4,F15,nuechtern,38
4,F1,betrunken,72
4,F2,betrunken,72
4,F3,betrunken,39
4,F4,betrunken,78
4,F5,betrunken,74
4,F6,betrunken,69
4,F7,betrunken,61
4,F8,betrunken,82
4,F9,betrunken,69
4,F10,betrunken,70
4,F11,betrunken,62
4,F12,betrunken,76
