LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,RH2M,T2M,PRECTOT
-47.88216,-15.79422,2015,11,9,313,2015-11-09,46.07,26.67,0
-47.88216,-15.79422,2015,11,10,314,2015-11-10,43.86,25.66,0
-47.88216,-15.79422,2015,11,11,315,2015-11-11,41.71,26.45,0
-47.88216,-15.79422,2015,11,12,316,2015-11-12,51.84,27.15,0
-47.88216,-15.79422,2015,11,13,317,2015-11-13,59.28,26.66,1.41
-47.88216,-15.79422,2015,11,14,318,2015-11-14,73.87,24.48,4.01
-47.88216,-15.79422,2015,11,15,319,2015-11-15,69.77,24.64,10.23
-47.88216,-15.79422,2015,11,16,320,2015-11-16,69.9,24.66,9.04
-47.88216,-15.79422,2015,11,17,321,2015-11-17,78.07,23.57,7.39
-47.88216,-15.79422,2015,11,18,322,2015-11-18,79.21,23.28,3.54
-47.88216,-15.79422,2015,11,19,323,2015-11-19,68.88,24.87,3.23
-47.88216,-15.79422,2015,11,20,324,2015-11-20,77,24.05,22.44
-47.88216,-15.79422,2015,11,21,325,2015-11-21,71.26,24.68,0.73
-47.88216,-15.79422,2015,11,22,326,2015-11-22,67.9,25.4,7.14
-47.88216,-15.79422,2015,11,23,327,2015-11-23,77.02,24.7,18.4
-47.88216,-15.79422,2015,11,24,328,2015-11-24,82.14,23.85,5.32
-47.88216,-15.79422,2015,11,25,329,2015-11-25,76.13,24.4,0.72
-47.88216,-15.79422,2015,11,26,330,2015-11-26,70.79,24.8,2.09
-47.88216,-15.79422,2015,11,27,331,2015-11-27,82.87,23.06,19.5
-47.88216,-15.79422,2015,11,28,332,2015-11-28,80.9,23.09,16.31
-47.88216,-15.79422,2015,11,29,333,2015-11-29,74.17,24.27,2.29
-47.88216,-15.79422,2015,11,30,334,2015-11-30,73.84,25.16,4.34
-47.88216,-15.79422,2015,12,1,335,2015-12-01,73.7,25.5,8.07
-47.88216,-15.79422,2015,12,2,336,2015-12-02,69.64,25.67,0.33
-47.88216,-15.79422,2015,12,3,337,2015-12-03,67.17,25.72,1.44
-47.88216,-15.79422,2015,12,4,338,2015-12-04,65.73,25.54,6.88
-47.88216,-15.79422,2015,12,5,339,2015-12-05,68.69,25.09,5.51
-47.88216,-15.79422,2015,12,6,340,2015-12-06,74.67,23.58,2.88
-47.88216,-15.79422,2015,12,7,341,2015-12-07,71.43,24.45,2.35
-47.88216,-15.79422,2015,12,8,342,2015-12-08,82.96,23.5,8.6
-47.88216,-15.79422,2015,12,9,343,2015-12-09,82.28,23.21,1.87
-47.88216,-15.79422,2015,12,10,344,2015-12-10,73.65,24.36,2.03
-47.88216,-15.79422,2015,12,11,345,2015-12-11,68.82,24.91,2.47
-47.88216,-15.79422,2015,12,12,346,2015-12-12,66.02,25.19,1.02
-47.88216,-15.79422,2015,12,13,347,2015-12-13,69.42,24.66,3.64
-47.88216,-15.79422,2015,12,14,348,2015-12-14,67.68,24.62,0.8
-47.88216,-15.79422,2015,12,15,349,2015-12-15,60.41,25.3,0.06
-47.88216,-15.79422,2015,12,16,350,2015-12-16,57.48,25.09,0.25
-47.88216,-15.79422,2015,12,17,351,2015-12-17,56.19,25.83,2.46
-47.88216,-15.79422,2015,12,18,352,2015-12-18,58.51,25.58,4.42
-47.88216,-15.79422,2015,12,19,353,2015-12-19,62.85,24.81,5.41
-47.88216,-15.79422,2015,12,20,354,2015-12-20,68.73,24.13,8.87
-47.88216,-15.79422,2015,12,21,355,2015-12-21,72.52,23.8,6.44
-47.88216,-15.79422,2015,12,22,356,2015-12-22,69.87,24.42,4.9
-47.88216,-15.79422,2015,12,23,357,2015-12-23,60.34,25.42,0.14
