,Date,AveragePrice,type,region
0,27.12.15,1.33,conventional,Albany
1,20.12.15,1.35,conventional,Albany
2,13.12.15,0.93,conventional,Albany
3,06.12.15,1.08,conventional,Albany
4,29.11.15,1.28,conventional,Albany
5,22.11.15,1.26,conventional,Albany
6,15.11.15,0.99,conventional,Albany
7,08.11.15,0.98,conventional,Albany
8,01.11.15,1.02,conventional,Albany
9,25.10.15,1.07,conventional,Albany
10,18.10.15,1.12,conventional,Albany
11,11.10.15,1.28,conventional,Albany
12,04.10.15,1.31,conventional,Albany
13,27.09.15,0.99,conventional,Albany
14,20.09.15,1.33,conventional,Albany
15,13.09.15,1.28,conventional,Albany
16,06.09.15,1.11,conventional,Albany
17,30.08.15,1.07,conventional,Albany
18,23.08.15,1.34,conventional,Albany
19,16.08.15,1.33,conventional,Albany
20,09.08.15,1.12,conventional,Albany
21,02.08.15,1.45,conventional,Albany
22,26.07.15,1.11,conventional,Albany
23,19.07.15,1.26,conventional,Albany
24,12.07.15,1.05,conventional,Albany
25,05.07.15,1.35,conventional,Albany
26,28.06.15,1.37,conventional,Albany
27,21.06.15,1.27,conventional,Albany
28,14.06.15,1.32,conventional,Albany
29,07.06.15,1.07,conventional,Albany
30,31.05.15,1.23,conventional,Albany
31,24.05.15,1.19,conventional,Albany
32,17.05.15,1.43,conventional,Albany
33,10.05.15,1.26,conventional,Albany
34,03.05.15,1.2,conventional,Albany
35,26.04.15,1.22,conventional,Albany
36,19.04.15,1.19,conventional,Albany
37,12.04.15,1.13,conventional,Albany
38,05.04.15,1.16,conventional,Albany
39,29.03.15,1.02,conventional,Albany
40,22.03.15,1.12,conventional,Albany
41,15.03.15,1.11,conventional,Albany
42,08.03.15,1.07,conventional,Albany
43,01.03.15,0.99,conventional,Albany
44,22.02.15,1.07,conventional,Albany
45,15.02.15,1.06,conventional,Albany
46,08.02.15,0.99,conventional,Albany
47,01.02.15,0.99,conventional,Albany
48,25.01.15,1.06,conventional,Albany
49,18.01.15,1.17,conventional,Albany
50,11.01.15,1.24,conventional,Albany
51,04.01.15,1.22,conventional,Albany
0,27.12.15,0.99,conventional,Atlanta
1,20.12.15,1.08,conventional,Atlanta
2,13.12.15,0.96,conventional,Atlanta
3,06.12.15,1.07,conventional,Atlanta
4,29.11.15,0.99,conventional,Atlanta
5,22.11.15,1,conventional,Atlanta
6,15.11.15,1.13,conventional,Atlanta
7,08.11.15,1.12,conventional,Atlanta
8,01.11.15,0.99,conventional,Atlanta
9,25.10.15,1.09,conventional,Atlanta
10,18.10.15,1.09,conventional,Atlanta
11,11.10.15,0.95,conventional,Atlanta
12,04.10.15,0.96,conventional,Atlanta
13,27.09.15,1.07,conventional,Atlanta
14,20.09.15,0.93,conventional,Atlanta
15,13.09.15,1.07,conventional,Atlanta
16,06.09.15,0.97,conventional,Atlanta
17,30.08.15,1.15,conventional,Atlanta
18,23.08.15,1.12,conventional,Atlanta
19,16.08.15,1.09,conventional,Atlanta
20,09.08.15,1.01,conventional,Atlanta
21,02.08.15,1.15,conventional,Atlanta
22,26.07.15,1.08,conventional,Atlanta
23,19.07.15,0.97,conventional,Atlanta
24,12.07.15,1.14,conventional,Atlanta
25,05.07.15,1.01,conventional,Atlanta
26,28.06.15,1.13,conventional,Atlanta
27,21.06.15,0.99,conventional,Atlanta
28,14.06.15,1.1,conventional,Atlanta
29,07.06.15,0.99,conventional,Atlanta
30,31.05.15,1.1,conventional,Atlanta
31,24.05.15,0.96,conventional,Atlanta
32,17.05.15,1.11,conventional,Atlanta
33,10.05.15,1.1,conventional,Atlanta
34,03.05.15,1,conventional,Atlanta
35,26.04.15,1.12,conventional,Atlanta
36,19.04.15,1.12,conventional,Atlanta
37,12.04.15,0.99,conventional,Atlanta
38,05.04.15,1.04,conventional,Atlanta
39,29.03.15,1.11,conventional,Atlanta
40,22.03.15,1,conventional,Atlanta
41,15.03.15,1.12,conventional,Atlanta
42,08.03.15,1.1,conventional,Atlanta
43,01.03.15,0.99,conventional,Atlanta
