X1,Date,Small Bags,Large Bags,XLarge Bags,type,region,SmallMediumAvocado,LargeAvocado,ExtraLargeAvocado
0,27.12.15,8603.62,93.25,0,conventional,Albany,4046_1036.74,4225_54454.85,4770_48.16
1,20.12.15,9408.07,97.49,0,conventional,Albany,4046_674.28,4225_44638.81,4770_58.33
2,13.12.15,8042.21,103.14,0,conventional,Albany,4046_794.7,4225_109149.67,4770_130.5
3,06.12.15,5677.4,133.76,0,conventional,Albany,4046_1132,4225_71976.41,4770_72.58
4,29.11.15,5986.26,197.69,0,conventional,Albany,4046_941.48,4225_43838.39,4770_75.78
5,22.11.15,6556.47,127.44,0,conventional,Albany,4046_1184.27,4225_48067.99,4770_43.61
6,15.11.15,8196.81,122.05,0,conventional,Albany,4046_1368.92,4225_73672.72,4770_93.26
7,08.11.15,6266.85,562.37,0,conventional,Albany,4046_703.75,4225_101815.36,4770_80
8,01.11.15,11104.53,283.83,0,conventional,Albany,4046_1022.15,4225_87315.57,4770_85.34
9,25.10.15,8061.47,564.45,0,conventional,Albany,4046_842.4,4225_64757.44,4770_113
10,18.10.15,7877.86,327.8,0,conventional,Albany,4046_924.86,4225_75595.85,4770_117.07
11,11.10.15,9866.27,257.63,0,conventional,Albany,4046_1582.03,4225_52677.92,4770_105.32
12,04.10.15,8379.98,376.77,0,conventional,Albany,4046_2268.32,4225_49880.67,4770_101.36
13,27.09.15,5888.87,145.59,0,conventional,Albany,4046_1204.88,4225_99409.21,4770_154.84
14,20.09.15,8489.1,778.26,0,conventional,Albany,4046_1028.03,4225_59313.12,4770_150.5
15,13.09.15,8665.19,621.49,0,conventional,Albany,4046_985.73,4225_65696.86,4770_142
16,06.09.15,7762.87,227.23,0,conventional,Albany,4046_879.45,4225_90062.62,4770_240.79
17,30.08.15,10218.93,87.8,0,conventional,Albany,4046_689.01,4225_94362.67,4770_335.43
18,23.08.15,10745.79,134.57,0,conventional,Albany,4046_733.16,4225_67933.79,4770_444.78
19,16.08.15,10297.68,145.54,0,conventional,Albany,4046_539.65,4225_68666.01,4770_394.9
20,09.08.15,9116.34,109.55,0,conventional,Albany,4046_584.63,4225_100961.46,4770_368.95
21,02.08.15,11768.52,78.5,0,conventional,Albany,4046_509.94,4225_62035.06,4770_741.08
22,26.07.15,13061.53,131.16,0,conventional,Albany,4046_648.75,4225_91949.05,4770_966.61
23,19.07.15,11103.49,183.99,0,conventional,Albany,4046_1042.1,4225_82049.4,4770_2238.02
24,12.07.15,24290.08,108.49,33.33,conventional,Albany,4046_672.25,4225_94693.52,4770_4257.64
25,05.07.15,29663.19,235.77,0,conventional,Albany,4046_869.45,4225_72600.55,4770_5883.16
26,28.06.15,26311.76,350.32,0,conventional,Albany,4046_664.23,4225_57545.79,4770_4662.71
27,21.06.15,21662,213.65,0,conventional,Albany,4046_804.01,4225_76688.55,4770_5481.18
