X1,Date,Total Volume,Total Bags,Small Bags,Large Bags,XLarge Bags,type,region,SmallMediumAvocado,LargeAvocado,ExtraLargeAvocado
0,27.12.15,64236.62,8696.87,8603.62,93.25,0,conventional,Albany,4046_1036.74,4225_54454.85,4770_48.16
1,20.12.15,54876.98,9505.56,9408.07,97.49,0,conventional,Albany,4046_674.28,4225_44638.81,4770_58.33
2,13.12.15,118220.22,8145.35,8042.21,103.14,0,conventional,Albany,4046_794.7,4225_109149.67,4770_130.5
3,06.12.15,78992.15,5811.16,5677.4,133.76,0,conventional,Albany,4046_1132,4225_71976.41,4770_72.58
4,29.11.15,51039.6,6183.95,5986.26,197.69,0,conventional,Albany,4046_941.48,4225_43838.39,4770_75.78
5,22.11.15,55979.78,6683.91,6556.47,127.44,0,conventional,Albany,4046_1184.27,4225_48067.99,4770_43.61
6,15.11.15,83453.76,8318.86,8196.81,122.05,0,conventional,Albany,4046_1368.92,4225_73672.72,4770_93.26
7,08.11.15,109428.33,6829.22,6266.85,562.37,0,conventional,Albany,4046_703.75,4225_101815.36,4770_80
8,01.11.15,99811.42,11388.36,11104.53,283.83,0,conventional,Albany,4046_1022.15,4225_87315.57,4770_85.34
9,25.10.15,74338.76,8625.92,8061.47,564.45,0,conventional,Albany,4046_842.4,4225_64757.44,4770_113
10,18.10.15,84843.44,8205.66,7877.86,327.8,0,conventional,Albany,4046_924.86,4225_75595.85,4770_117.07
11,11.10.15,64489.17,10123.9,9866.27,257.63,0,conventional,Albany,4046_1582.03,4225_52677.92,4770_105.32
12,04.10.15,61007.1,8756.75,8379.98,376.77,0,conventional,Albany,4046_2268.32,4225_49880.67,4770_101.36
13,27.09.15,106803.39,6034.46,5888.87,145.59,0,conventional,Albany,4046_1204.88,4225_99409.21,4770_154.84
14,20.09.15,69759.01,9267.36,8489.1,778.26,0,conventional,Albany,4046_1028.03,4225_59313.12,4770_150.5
15,13.09.15,76111.27,9286.68,8665.19,621.49,0,conventional,Albany,4046_985.73,4225_65696.86,4770_142
16,06.09.15,99172.96,7990.1,7762.87,227.23,0,conventional,Albany,4046_879.45,4225_90062.62,4770_240.79
17,30.08.15,105693.84,10306.73,10218.93,87.8,0,conventional,Albany,4046_689.01,4225_94362.67,4770_335.43
18,23.08.15,79992.09,10880.36,10745.79,134.57,0,conventional,Albany,4046_733.16,4225_67933.79,4770_444.78
19,16.08.15,80043.78,10443.22,10297.68,145.54,0,conventional,Albany,4046_539.65,4225_68666.01,4770_394.9
20,09.08.15,111140.93,9225.89,9116.34,109.55,0,conventional,Albany,4046_584.63,4225_100961.46,4770_368.95
21,02.08.15,75133.1,11847.02,11768.52,78.5,0,conventional,Albany,4046_509.94,4225_62035.06,4770_741.08
22,26.07.15,106757.1,13192.69,13061.53,131.16,0,conventional,Albany,4046_648.75,4225_91949.05,4770_966.61
23,19.07.15,96617,11287.48,11103.49,183.99,0,conventional,Albany,4046_1042.1,4225_82049.4,4770_2238.02
24,12.07.15,124055.31,24431.9,24290.08,108.49,33.33,conventional,Albany,4046_672.25,4225_94693.52,4770_4257.64
25,05.07.15,109252.12,29898.96,29663.19,235.77,0,conventional,Albany,4046_869.45,4225_72600.55,4770_5883.16
26,28.06.15,89534.81,26662.08,26311.76,350.32,0,conventional,Albany,4046_664.23,4225_57545.79,4770_4662.71
27,21.06.15,104849.39,21875.65,21662,213.65,0,conventional,Albany,4046_804.01,4225_76688.55,4770_5481.18
28,14.06.15,89631.3,29002.59,28343.14,659.45,0,conventional,Albany,4046_850.58,4225_55400.94,4770_4377.19
29,07.06.15,122743.06,22775.21,22314.99,460.22,0,conventional,Albany,4046_656.71,4225_99220.82,4770_90.32
30,31.05.15,95123.62,23681.01,23222.49,458.52,0,conventional,Albany,4046_922.37,4225_70469.69,4770_50.55
31,24.05.15,101470.91,29355.13,28761.81,593.32,0,conventional,Albany,4046_680.27,4225_71376.81,4770_58.7
32,17.05.15,109857.47,26657.44,26285.43,372.01,0,conventional,Albany,4046_1150.55,4225_81955.16,4770_94.32
33,10.05.15,120427.91,16821.3,16535.55,285.75,0,conventional,Albany,4046_1420.43,4225_102000.52,4770_185.66
34,03.05.15,59197.67,12570.51,12201.95,368.56,0,conventional,Albany,4046_919.87,4225_45490.05,4770_217.24
35,26.04.15,49585.46,12778.44,12076.83,701.61,0,conventional,Albany,4046_875.65,4225_35841.75,4770_89.62
36,19.04.15,49064.73,14301.92,13602.97,698.95,0,conventional,Albany,4046_774.15,4225_33941.51,4770_47.15
37,12.04.15,48364.29,17104.37,16438.49,665.88,0,conventional,Albany,4046_864.27,4225_30374.15,4770_21.5
38,05.04.15,47362.13,10728.94,9869.16,755.61,104.17,conventional,Albany,4046_961.77,4225_35577.66,4770_93.76
39,29.03.15,67799.08,7684.08,7208.49,475.59,0,conventional,Albany,4046_1402.28,4225_58623.22,4770_89.5
40,22.03.15,46346.85,9749.66,9252.6,497.06,0,conventional,Albany,4046_2141.83,4225_34313.56,4770_141.8
41,15.03.15,43045.79,10370.69,9989.59,381.1,0,conventional,Albany,4046_2128.26,4225_30447.17,4770_99.67
42,08.03.15,40507.36,9181.99,8827.55,354.44,0,conventional,Albany,4046_795.68,4225_30370.64,4770_159.05
43,01.03.15,55595.74,9151.45,8986.06,165.39,0,conventional,Albany,4046_629.46,4225_45633.34,4770_181.49
44,22.02.15,45675.05,9379.54,9000.16,379.38,0,conventional,Albany,4046_1088.38,4225_35056.13,4770_151
45,15.02.15,41567.62,10313.03,9979.87,333.16,0,conventional,Albany,4046_986.66,4225_30045.51,4770_222.42
46,08.02.15,51253.97,10621.54,10113.1,508.44,0,conventional,Albany,4046_1357.37,4225_39111.81,4770_163.25
47,01.02.15,70873.6,9323.18,9170.82,152.36,0,conventional,Albany,4046_1353.9,4225_60017.2,4770_179.32
48,25.01.15,45147.5,10845.82,10103.35,742.47,0,conventional,Albany,4046_941.38,4225_33196.16,4770_164.14
49,18.01.15,44511.28,11921.05,11651.09,269.96,0,conventional,Albany,4046_914.14,4225_31540.32,4770_135.77
50,11.01.15,41195.08,8424.77,8036.04,388.73,0,conventional,Albany,4046_1002.85,4225_31640.34,4770_127.12
51,04.01.15,40873.28,9716.46,9186.93,529.53,0,conventional,Albany,4046_2819.5,4225_28287.42,4770_49.9
0,27.12.15,386100.49,66354.31,48605.95,17748.36,0,conventional,Atlanta,4046_292097.36,4225_27350.92,4770_297.9
1,20.12.15,331377.53,58797.87,46930.26,11867.61,0,conventional,Atlanta,4046_251774.15,4225_20702.45,4770_103.06
2,13.12.15,417772.47,61545.31,38903.57,22628.21,13.53,conventional,Atlanta,4046_324932.28,4225_31019.08,4770_275.8
3,06.12.15,357636.82,50690.04,37032.67,13654.66,2.71,conventional,Atlanta,4046_283024.01,4225_23740.85,4770_181.92
4,29.11.15,333280.79,53794.68,33031.72,20738.55,24.41,conventional,Atlanta,4046_250288.65,4225_28889.63,4770_307.83
5,22.11.15,356414.57,56382.08,36992.3,19389.78,0,conventional,Atlanta,4046_269799.03,4225_29732.3,4770_501.16
6,15.11.15,339860.68,47046.48,33656.42,13390.06,0,conventional,Atlanta,4046_263915.78,4225_28442.45,4770_455.97
7,08.11.15,334041.6,48628.65,35662.93,12941.12,24.6,conventional,Atlanta,4046_250441.38,4225_34483.33,4770_488.24
8,01.11.15,419088.74,65398.38,39460.77,25929.39,8.22,conventional,Atlanta,4046_290457.5,4225_62980.07,4770_252.79
9,25.10.15,358478.08,56751.46,31826.88,24924.58,0,conventional,Atlanta,4046_236814.29,4225_64607.97,4770_304.36
10,18.10.15,349072.48,60339.19,36884.35,23454.84,0,conventional,Atlanta,4046_228710.28,4225_59731.79,4770_291.22
11,11.10.15,433874.46,86294.11,41159.96,45134.15,0,conventional,Atlanta,4046_255933.32,4225_91047.32,4770_599.71
12,04.10.15,418682.26,59460.41,14875.64,44584.77,0,conventional,Atlanta,4046_265797.09,4225_92780.33,4770_644.43
13,27.09.15,370321.17,45662.3,20533.87,25125.65,2.78,conventional,Atlanta,4046_262107.44,4225_61870.63,4770_680.8
